author,text,likeCount,publishedAt
@FajarA_Channel,"Assalamu'alaikum Warohmatulohi Wabarakatuh, 
Barangsiapa yang menunjuki kepada kebaikan maka dia akan mendapatkan pahala seperti pahala orang yang mengerjakannya
(HR. Muslim no. 1893).

أَسْتَغْفِرُ اللَّهَ الْعَظِيمَ
(Astaghfirullahal ‘adhiim)

حَسْبُنَا اللهُ وَنِعْمَ الْوَكِيْلُ نِعْمَ الْمَوْلَى وَنِعْمَ النَّصِيْرُ
{Hasbunallah wa Ni’mal Wakil Ni’mal Maula Wani’mannasir} 

اَللَّهُمَّ صَلِّ عَلٰى سَيِّدِنَا مُحَمَّدٍ وَعَلٰى اٰلِ سَيِّدِنَا مُحَمَّدٍ
(Allahumma Sholli Ala Sayyidina Muhammad Wa Ala Ali Sayyidina Muhammad) 

سُبْحَانَ اللهِ وَالْحَمْدُ لِلهِ وَلاَ إِلَهَ إِلاَّ اللهُ وَاللهُ أَكْبَرُ
(Subhanallah walhamdulillah wala ilaha illallah wallahu akbar) 

لَا إِلَهَ إِلَّا أَنْتَ سُبْحَانَكَ إِنِّي كُنْتُ مِنَ الظَّالِمِينَ
(Laa ilaaha illa Anta, subhanaka innii kuntu minaz zalimin)

Baca sebentar yukk
Astaghfirullahal adzim alladzii laa ilaaha illa huwal hayyul qayyum wa atuubu ilaih 3x
Laa ilaaha illallah wahdahu laa syariikalah, lahulmulku walahulhamdu yuhyii wayumiitu, wahuwa 'alaa kulli syai'inqodiir 3x
Subhanallah 3x
Alhamdulillah 3x
Allahu akbar 3x
Laa ilaaha illallah 7x
Allahumma shalli 'ala sayyidina Muhammad wa 'ala ali sayyidina Muhammad 10x
Allahumma ajirni minannar 3x
Allahumma innii as-alukal jannah, wa a'uudzu bika minan-naar 3x
Allahumma innii as-aluka husnal khotimah 3x
Laa ilaaha illa anta subhanaka innii kuntu minadzoolimin 3x
Hasbunallah wani'mal wakil ni'mal maula wani'man nasir 3x
Alhamdulillah selamat yah kamu sudah dapat pahala hari ini dan jangan lupa di share untuk pahala jariahnya 😇🤲🏻",0,2024-09-06T06:52:17Z
@DonDiSini,Letsgo king indo🎉,0,2024-09-06T06:52:10Z
@herodes9380,"Seru dan kereeennn.... timnas Indonesia mantab bisa menahan imbang timnas langganan piala dunia... apalagi peelatihnya mancini... luar biasa timnas Indonesia berada dititik ini...👍👍👍
Mudah2an timnas Indonesia lolos piala dunia....Amin...",3,2024-09-06T06:52:10Z
@ramdanjr6189,"Mana nih para penyefhong Nguyen Van towel, waktu dan tempat dipersilahkan 😂",0,2024-09-06T06:52:09Z
@RAFKIJENDRA-q6b,Indonesia keren ❤u untuk timnas Indonesia❤❤,0,2024-09-06T06:52:06Z
@anggaramandaputra6561,Darah indo asli jgn d mainin bikin jantungan aja 😂,0,2024-09-06T06:52:03Z
@DM-oq2fk,Semangat timnas indo❤ buktikan pada dunia bahwa sepakbola indonesia maju!!!,1,2024-09-06T06:51:28Z
@Izmieh,Iklanya jos rcti cuannnnn,0,2024-09-06T06:51:26Z
@Abdulrohman-kv3ev,"Allhamdulillah..di kolom komentar ini tidak ada hinaan dari netizen malays dan nguyen!! Sangat berbeda di sosmed seperti X,IG,FB,TIKTOK.banyak sekali komentar hinaan dr netizen malays dan net nguyen!!",0,2024-09-06T06:51:21Z
@shanumkhanzatabita7750,"Masyaallah bagus permainannya
Alhamdulillah dpt hasil yang memuaskan",0,2024-09-06T06:51:14Z
@vianseptiana511,"Rcti emng terbaik, ngasih highlight sampai 20 menit gini, beda sama tv sebelah udh burem ngasih highlight pelit amat, paling panjang 2 menit 😅",0,2024-09-06T06:51:14Z
@anggaramandaputra6561,"Udah jangan kebanyakan di puji2, yg udh2 hbs itu korban pembantaian 😂",0,2024-09-06T06:51:13Z
@TakarilahNolLima,"Kiper timnas namanya 
Maarten Paes kalau dibaca
Martin Pass apa Maartin Paes ?",0,2024-09-06T06:51:04Z
@jo2ntarom838,Mantap indonesiaku permainannya semakin bagus 👍,0,2024-09-06T06:50:46Z
@sulemailcom10,"mantap timnas tunjukan bw kita tim yg terbaik di asia
bukan tim yg kaleng kaleng
malasih sty yg selalu di siplin dn latihan keras berbuah hasil yg manis🇮🇩👍👍👍👍👍",0,2024-09-06T06:50:38Z
@AdiNurman33,Pak haji mode botak...gacor,0,2024-09-06T06:50:32Z
@MeAta,Mantap Indonesia,0,2024-09-06T06:50:17Z
@EdiSusilo-x4u,Ayo Indonesiaku..sudah saatnya kita bergandengan tangannn...untuk lebih memajukan NKRI.,0,2024-09-06T06:50:03Z
@giogio4857,Semiga esok lawan australia lebih kompak dan menang,0,2024-09-06T06:50:03Z
@agusmuallim1348,Indonesia bisa,0,2024-09-06T06:49:49Z
@lawklik,"Keren banget permainan Indonesia tadi malem. Di babak awal seneng banget liat pola permainannya. Walaupun di babak kedua mulai menurun karena kecapean, untungnya di babak kedua Indonesia masih mampu bertahan dari serangan. Pokoknya keren banget dehh. Terimakasih para pemain, terimakasih management, dan terimakasih pada semua yang terlibat untuk mendukung Indonesia. Indonesia Keren❤",16,2024-09-06T06:49:08Z
