author,text,likeCount,publishedAt
@ashilaputritunggal9635,Semoga kedepan nya lebih cepat pergerakan baik saat menyerang mau pun bertahan insyaa Allah timnas Indonesia menempati juara grup atau pun runner up aamiin🤲,1,2024-10-04T15:04:25Z
@Susanti-y9v,Bang kok gak ada ernando bang,1,2024-10-04T11:59:03Z
@SaadgrillSaadgrill,Klau yg main time lokalnya pasti kalah.mental pemain lokal blm dapat makanya dr dulu sepak bola kita ga pernah berprestasi.,0,2024-10-04T03:23:04Z
@PT.DIGITALMARKETINGAGENCY,Dr dulu saya jg berfikiran bahwa salah satu cara untuk meningkatkan prestasi Indonesia adalah dengan memanggil putra-putri terbaik ibu Pertiwi yang ada di eropa. Alhamdulillah skrg terwujud,0,2024-10-03T16:58:59Z
@farhandwikaryana1438,"moment Terakhir kali nonton timnas bareng bapak , setelah 13 hari tepatnya tgl 23 bapak meninggal.
Bapak seneng banget sama permainan timnas sekarang , bahkan sampe bela""in begadang nonton lawan arab ( padahal sebelumnya gapernah begadang utk nonton bola). bahkan setelah match lawan australia bapak antusias nanya jadwal timnas selanjutnya , tp qadarullah umur bapak ga sampai untuk nonton timnas lagi. 😇",1,2024-10-03T16:30:53Z
@Masniah123-s5o,Terimakasih maartin paes sudah lindungi gawang indonesia❤,0,2024-10-03T04:29:23Z
@DarsonoDarso-d4z,"Hanya mengandalkan kiper.. beruntung punya kiper paes...andaikan bukan paes,,kebobolan berapa sudah. Kayak 1 lawan 11..",0,2024-10-02T16:52:02Z
@Gerry284-w2o,"Indonesia,,🇮🇩🇮🇩🇮🇩",0,2024-10-02T14:48:07Z
@ebenlakotani7030,Timnas gue nihh ❤❤❤❤❤,0,2024-10-02T13:26:41Z
@ShelaRahma-s7u,bagus,0,2024-10-02T12:48:38Z
@donnypranata6996,Riski ridho keren bgt sih...,0,2024-10-02T12:09:58Z
@thildasonlay9990,Gemuruh suara para pendukung Timnas Indonesia di dlm stadion membuat nyali pemain Australia agak ciut juga😂😂💪🇮🇩🇮🇩,0,2024-10-02T07:44:04Z
@nanangsunarya2936,"Untuk lini  depan dan tengah jangan takut memainkan bola dikotak penalti lawan cetak gol sebanyak mungkin, lihat Jepang mereka berani",0,2024-10-02T02:34:13Z
@nanangsunarya2936,Darurat lini depan harus ada ole romeny,1,2024-10-02T02:30:46Z
@relaxaja408,Kiper nya uda bagus jangan bertahan harus nyerang,1,2024-10-01T13:34:40Z
@Belkis557,ku ingin timnas ada pemain keturunan papua juga,1,2024-10-01T12:46:36Z
@linz419,Grub nya grub neraka lawan nya berat,0,2024-10-01T12:26:49Z
@BelanjaOnlineTermurah,"rumput nya memang parah, kpleset2 pemain di buat ,coba aja cermati😂",1,2024-10-01T10:29:42Z
@koukonchannel,Cara menangkap dan menangkis bola penjaga gawang marteen Paes seperti tembok,0,2024-10-01T10:00:38Z
@duljos2580,Marselino kebody dikit jatuh.. Latian fisik lagi yg kerass yg serius klau mau naik level,1,2024-10-01T06:09:52Z
@sunarmuhadi,"kita balas nanti di kandang dg poin 3,kt serang balik nanti ,semoga",0,2024-09-30T11:13:02Z
@MuhamGame,Mohon izin share 🙏🙏🙏,0,2024-09-30T09:54:45Z
@octavianmahendra9877,PAES DAY,0,2024-09-30T08:08:15Z
@deonbenjamin5650,"Harusnya sih Indonesia masuk piala dunia 2028, kan di asia negara yg masuk pildun nambah jadi 8. Naturalisasi juga udah banyak. Kalo ga masuk sih keterlaluan",0,2024-09-30T00:50:33Z
@Rizal_anthony,Edannn kiperr indonesia 🔥🔥🔥🔥,1,2024-09-29T20:04:21Z
@IrsanSeknun,Bravo Timnas Indonesia 🇲🇨,0,2024-09-29T15:49:16Z
@natalee61,11:57 bagong,0,2024-09-29T09:09:35Z
@jara874,Insyaallah Indonesia lolos ke piala dunia Alloh Akbar.,0,2024-09-29T08:25:47Z
@andiandi-i9t,"Msi butu lini depan,cari yg seperti laurato martines atau messi,atau mbape, pokoknya naturalisasi terbaik",0,2024-09-29T00:23:55Z
@andiandi-i9t,"Indonesia suda bagus,cuman masi ada kekurangan di lini depan, Indonesia masi butu penyerang seperti laurato martines,atau messi,semoga cepat dapat 2026 kita bisa amin",1,2024-09-29T00:22:24Z
@arayselim9599,"Mantap nontonnya,sama sama menyerang❤❤ini baru team yg kita harapkan😊",0,2024-09-28T23:27:27Z
@ZassGarea-er8yp,Maju INDONESIA,0,2024-09-28T22:17:57Z
@ZassGarea-er8yp,Kami siap hadapi Australia,2,2024-09-28T21:58:29Z
@Lee_435,Mereka yg main gue yg capek😅gilaa intensitasnya tinggi bgt,0,2024-09-28T10:11:36Z
@kris521,Cak paes,0,2024-09-27T19:02:40Z
@Herman-mp7fs,Berbahaya alhamdulillah,0,2024-09-27T07:15:41Z
@ragilbtg2024,"Kualitas rumputnya sedikit lagi di kasih sempurna,!!!",2,2024-09-26T18:21:05Z
@umarfaruk1310,Rumputnya kocak,1,2024-09-26T08:22:18Z
@AbbahFatimah,Spt ny tgl 10 Oktober nanti cina bakal bebek belur sm Australia...dan 15 Oktober ny bakal di ganyang Indonesia juga😊😊❤❤,1,2024-09-26T07:46:06Z
@sokyhappenings4673,2025 main di mna australia vs indo,0,2024-09-25T11:36:55Z
@rusna7448,Semua pemain ❤,0,2024-09-25T10:13:18Z
@myhero9180,"Indonesia menahan imbang Australia ❎
Australia menahan imbang Indonesia ✅😂",4,2024-09-25T08:18:09Z
@ElisSadeli,"Entah berapa puluh kali saya nonton ulasan ini, gmn klu infonesia msk pildun?  😊",1,2024-09-25T07:01:27Z
@agungdianputra1606,Terima kasih Indonesia 🎉,0,2024-09-25T04:36:17Z
@sejahteralogistik,orang bilang fans garuda deg-degan? aslinya fans dan official serta pemain australia yang jantungan dan alhasil pelatihnya mundur.. he he he,0,2024-09-24T22:20:11Z
@CandraRiiskianputra,Smoga Jairo sma striker grade A diem2 ngurus berkas buat ngejutin jepang bsok 😅❤,1,2024-09-24T18:14:17Z
@ses0197,"Di menit 11:46 Adalah peluang baik. Saat kiper maju, Tapi para pemain tidak ada yg memiliki penembak yg baik dari jarak jauh.. penembak jarak jauh perlu di latih khusus buat 2 pemain. Biar setiap pantulan bola bisa langsung shoot.. kebanyakan dribel sama umpan ujung2nya bola mudah di rebut..",0,2024-09-24T16:37:39Z
@mursyidindin1532,"Argentina di kalahin arab..
Arab ditahan imbang indonesia..
Australia dan indonesia kalah 0-2 dari argentina,,
Hasilnya seri😅..
Tinggal jepang, jika bisa bikin seri lagi keren bgt dah indonesia..",0,2024-09-24T15:25:30Z
@KhaerulUmam-ju9um,Sintaiyong hrsnya ambil siasat cepat untuk keluar dr bombardir.,0,2024-09-24T13:29:01Z
@yeniiswanti578,paling seru ini 😝😝😝,0,2024-09-24T12:29:41Z
@Josephmareborn,Bahaya neh ustrali,0,2024-09-24T09:31:07Z
@JokoLensyo,Hura,0,2024-09-24T04:49:25Z
@andreperanginangin4889,"TOLONG YA RUMPUT GBK DIPERBAIKI, JANGAN BUAT MALU INDONESIA. KALAU PENGELOLA YANG SEKARANG GAK BECUS GANTI SAJA",1,2024-09-24T04:35:22Z
@myusuf157,Marten paes gg,0,2024-09-24T02:26:27Z
@HaikalAdja-cv4lt,"Bagus 😮
Yang main sepak bola 
Main sepak bola melawan tim Indonesia +Israel",0,2024-09-23T12:42:59Z
@MelitaPasaribu-t6r,Indonesia tidak bisa di lawan,0,2024-09-23T11:12:39Z
@CekerTanpatulang-e3x,Babak brp bro,0,2024-09-22T23:06:20Z
@palepaku529,Ini team PBB vs Australia itu ya,0,2024-09-22T20:01:16Z
@AlfaUmaro-j1m,kalo kiper nya ernando ah udah deh,0,2024-09-22T13:51:49Z
@rendraronywijaya5675,"Marcel ngeeri ,ga iso melindungi bola",1,2024-09-22T00:11:30Z
@riniboos3614,mending indonesia fersus maroko,0,2024-09-21T10:38:32Z
@julianachmad9196,Semoga rumput GBK kedepannya bisa bagus supaya permainan nya semakin baik sesuai taktik yg diinstruksikan STY,0,2024-09-21T05:53:53Z
@NurhayatiAufa,"Seri bang
o-0",0,2024-09-21T03:21:48Z
@noumichan9131,"Banyak banget PR indonesia di lini pertahanan.. baik dari postur serta tehnik defense banyak yg Miss.. untung hoky masih menyertai,, soalnya KLO apes lebih dari tiga gol itu kebobolan",0,2024-09-20T16:31:06Z
@MangQinoy-f7c,"Memang kelass dunia bang paes ini😂  pasti bisa lolos piala dunia nihhhh.. Jadi ga sabar kalau liat Indonesia di Piala dunia pake komentator bahasa Inggris pasti bakalan keren nihhh
Bravo timnas Indonesia",1,2024-09-20T13:08:37Z
@DelimaNainggolan-kw4pe,Semoga indonesia menang di piala dunia 2026🎉🎉🎉 sematgat indonesia,1,2024-09-20T12:30:59Z
