author,text,likeCount,publishedAt
@indahnyaberbagi4587,Sepak bola asia tenggara tidak bisa di anggap remeh..,0,2024-09-15T13:47:49Z
@ooharief,Let's Go The Garuda 🦅🇮🇩,2,2024-09-15T09:51:38Z
@HamidzandGecan,Nice 🇮🇩✌️,0,2024-09-15T07:12:22Z
@vinandakencana8369,Both team are amazyng  goodjob Australia and Indonesia 💪👍,0,2024-09-15T05:20:53Z
@thanhsonhuynh1160,Australian vs Netherlands😅😅😅😅,0,2024-09-15T04:23:35Z
@thegamexxx9011,too many naturalised player.local player too weak.should be banned frm playing,2,2024-09-15T01:54:32Z
@Theaussiemixer,"I'm just glad I got to enjoy watching Australia when we had the likes of Harry Kewell, Mark Viduka, Tim Cahil, Brett Emerton, Scott Chipperfield, John Aloisi, Lucas Neill, Mark Schwarzer etc",0,2024-09-15T00:12:01Z
@momsvett,in my opinion fired arnold immediately,0,2024-09-14T23:51:57Z
@FreeKickZone,Indonesia vs Australia+Scotland+Sudan= 0-0 😂😂😂😂😂,3,2024-09-14T18:24:46Z
@cenima-yy6ej,Thank for yourcoming in indonesia❤,0,2024-09-14T16:45:20Z
@nasrawiu7,"Saudi Arabia and Japan will qualify for the World Cup from this group, and the rest of the two teams in this group are not good. They will devour the Saudi team.",0,2024-09-14T16:40:58Z
@nasrawiu7,جمعيهم اندنوسيا واستراليا اقزام اما المنتخب السعودي 🇸🇦🕋,0,2024-09-14T16:38:58Z
@ignatiushendry9882,"Indonesia 🇮🇩
Thanks australia",2,2024-09-14T14:22:41Z
@bryanleeyf87,All i see is Indonesia being dominated. They're going to crack sooner or later,0,2024-09-14T11:16:31Z
@MahmudNisa-b8g,🇮🇩,0,2024-09-14T06:44:19Z
@muhamadromdhon5213,"祝贺印尼取得胜利。
我们赞比亚社区感到非常自豪，印度尼西亚将继续取得成功。",0,2024-09-14T06:02:50Z
@jinjin8877,"日本人です
この結果には正直失望しました
日本にとってオーストラリアは長年のライバルだと思っていました
昔は強かったのにオーストラリア代表は年々弱くなっているように思います
昔オーストラリアはサッカーの人気が無くてラグビーやクリケットが人気だと聞きました
現在もオーストラリアではサッカーが不人気なんですか？
ラグビーやクリケットに人材が流れているんですか？",0,2024-09-14T05:41:51Z
@JairoCadena-v6w,"Is John Aloisi laughing now?  Just to paraphrase John: “nobody is expecting Australia to go to the World Cup 2026”, time to eat humble pie for some.",1,2024-09-14T00:08:01Z
@yuswantoedward3828,Forgetting the fact how solid indonesian defense  is,0,2024-09-13T22:05:02Z
@KachinaMonongye,Shin Tae-yong is legend,15,2024-09-13T21:30:52Z
@sigitkamsiono,"Good game friend, see you again in the second match.",0,2024-09-13T21:15:55Z
